author,gender,birth_place,ethnicity,movement,education,notable_works,wiki_genre,awards,DOB,DOD,in_links,categories,summaries,average_rating,number_of_ratings,number_of_reviews,genre1,genre2,genre3
Charlotte Perkins Gilman,female,Hartford,Not Known,Not Known,Not Known,"['The Yellow Wall Paper', 'Herland', 'Mafer tetona']",Not Known,"[""National Women's Hall of Fame"", ""Connecticut Women's Hall of Fame""]",1860,1935,"['Ann Petry', 'Edith Wharton', 'Eudora Welty', 'Harriet Beecher Stowe', 'Louisa May Alcott', 'Lydia Maria Child', ""Madeleine L'Engle"", 'Pearl S. Buck', 'Willa Cather', 'Zora Neale Hurston']","['19th-century American short story writers', '19th-century American women writers', '20th-century American novelists', '20th-century American short story writers', '20th-century American women writers', 'American feminist writers', 'American science fiction writers', 'American women non-fiction writers', 'American women novelists', 'American women short story writers', 'LGBT writers from the United States', 'Novelists from Connecticut', 'Women science fiction and fantasy writers', 'Writers from Hartford, Connecticut', 'Writers of Gothic fiction']","Charlotte Perkins Gilman (; née Perkins; July 3, 1860 – August 17, 1935), also known as Charlotte Perkins Stetson, her first married name, was an American humanist, novelist, writer of short stories, poetry and nonfiction, and a lecturer for social reform. She was a utopian feminist and served as a role model for future generations of feminists because of her unorthodox concepts and lifestyle. She has been inducted into the National Women's Hall of Fame. Her best remembered work today is her semi-autobiographical short story ""The Yellow Wallpaper"", which she wrote after a severe bout of postpartum psychosis.",4.02,"224,556","11,885",Fiction,Sociology,Poetry
Susan Gregg Gilmore,female,Nashville,Not Known,Not Known,"['University of Texas at Austin', 'University of Virginia']",Not Known,Not Known,Not Known,1961,Alive,[],"['21st-century American novelists', '21st-century American women writers', 'American women novelists', 'Novelists from Tennessee']","Susan Gregg Gilmore is an American novelist specializing in Southern fiction. Her first book, Looking for Salvation at the Dairy Queen, was called a ""stand-out coming-of-age novel"" by NPR critic Alan Cheese. Her most recent novel, The Funeral Dress, was described as a ""revelatory novel that offers an evocative account of the lives of Appalachian working women"" by Kirkus Reviews.Gilmore lives in Chattanooga, Tennessee, with her husband and dog.

",3.8,"17,759","2,281",N/A,N/A,N/A
Mark Gilroy,male,Dayton,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1958,Alive,[],"['20th-century American male writers', '20th-century American non-fiction writers', '20th-century American novelists', '21st-century American male writers', '21st-century American non-fiction writers', '21st-century American novelists', 'American Christian writers', 'American crime fiction writers', 'American male non-fiction writers', 'American male novelists', 'Novelists from Ohio', 'Novelists from Tennessee', 'Writers from Dayton, Ohio']","Mark Gilroy is an American publisher and author notable for writing character-driven crime thrillers. USA Today reviewer Serena Chase described his crime thriller Cuts Like A Knife as an ""intense, eerie, funny and suspenseful thriller with a very subtle faith thread that enriches rather than suffocates the story."" Publishers Weekly described the thriller as having an ""evil criminal, dedicated cop, and exciting ending."" A reviewer of his second novel, Every Breath You Take, suggested that ""shifts between private and public reactions nicely fit the spiritual themes in the material."" Gilroy has worked thirty years in the publishing industry.",4.13,55,12,N/A,N/A,N/A
Fred Gipson,male,Mason,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1908,1973,[],"['20th-century American male writers', '20th-century American novelists', 'American male novelists', 'Novelists from Texas']","Frederick Benjamin ""Fred"" Gipson (February 7, 1908 – August 14, 1973) was an American author and screenwriter. He is best known for writing the 1956 novel Old Yeller, which became a popular 1957 Walt Disney film. Gipson was born on a farm near Mason in the Texas Hill Country, the son of Beck Gipson and Emma Deishler.  After working at a variety of farming and ranching jobs, he enrolled in 1933 at the University of Texas at Austin. There he wrote for the Daily Texan and The Ranger, but he left school before graduating to become a newspaper journalist.",4.08,"91,820","2,512",Fiction,Historical Fiction,Classics
Ellen Glasgow,female,Richmond,Not Known,Not Known,Not Known,['In This Our Life'],Not Known,['Pulitzer Prize for Novels'],1873,1945,"['A. B. Guthrie Jr.', 'Adam Johnson (writer)', 'Alice Walker', 'Alison Lurie', 'Allen Drury', 'Andrew Sean Greer', 'Anne Tyler', 'Barbara Kingsolver', 'Bernard Malamud', 'Booth Tarkington', 'Carol Shields', 'Caroline Pafford Miller', 'Colson Whitehead', 'Conrad Richter', 'Cormac McCarthy', 'Donna Tartt', 'Edith Wharton', 'Edna Ferber', 'Edward P. Jones', ""Edwin O'Connor"", 'Elizabeth Strout', 'Ernest Hemingway', 'Ernest Poole', 'Eudora Welty', 'Geraldine Brooks (writer)', 'H. L. Davis', 'Harper Lee', 'Herman Wouk', 'James A. Michener', 'James Agee', 'James Gould Cozzens', 'Jane Smiley', 'Jean Stafford', 'Jeffrey Eugenides', 'Jennifer Egan', 'Jhumpa Lahiri', 'John Cheever', 'John Hersey', 'John Kennedy Toole', 'John P. Marquand', 'John Steinbeck', 'John Updike', 'Julia Peterkin', 'Katherine Anne Porter', 'Larry McMurtry', 'Louis Bromfield', 'Louise Erdrich', 'MacKinlay Kantor', 'Margaret Ayer Barnes', 'Margaret Mitchell', 'Margaret Wilson (novelist)', 'Marilynne Robinson', 'Marjorie Kinnan Rawlings', 'Martin Flavin', 'Mary Virginia Terhune', 'Michael Chabon', 'Michael Cunningham', 'Michael Shaara', 'N. Scott Momaday', 'Norman Mailer', 'Oliver La Farge', 'Oscar Hijuelos', 'Paul Harding (author)', 'Pearl S. Buck', 'Philip Roth', 'Richard Ford', 'Richard Powers', 'Richard Russo', 'Robert Lewis Taylor', 'Robert Olen Butler', 'Robert Penn Warren', 'Saul Bellow', 'Sharyn McCrumb', 'Shirley Ann Grau', 'Sinclair Lewis', 'Steven Millhauser', 'Thomas Sigismund Stribling', 'Thornton Wilder', 'Toni Morrison', 'Upton Sinclair', 'Wallace Stegner', 'Willa Cather', 'William Faulkner', 'William Kennedy (author)', 'William Styron']","['19th-century American novelists', '19th-century American women writers', '20th-century American non-fiction writers', '20th-century American novelists', '20th-century American women writers', 'American women novelists', 'Novelists from Virginia', 'Pulitzer Prize for the Novel winners', 'Writers from Richmond, Virginia', 'Writers of American Southern literature']","Ellen Anderson Gholson Glasgow (April 22, 1873 – November 21, 1945) was an American novelist who won the Pulitzer Prize for the Novel in 1942. A lifelong Virginian who published 20 books including seven novels which sold well (five reaching best-seller lists) as well as gained critical acclaim, Glasgow portrayed the changing world of the contemporary South, differing from the idealistic escapism that characterized Southern literature after Reconstruction.",3.78,"4,051",509,Literature & Fiction,N/A,N/A
Julia Glass,female,Boston,Not Known,Not Known,"['Yale University', 'Concord Academy']",Not Known,novel,"['National Book Award', 'National Book Award for Fiction']",1956,Alive,"['Adam Johnson (writer)', 'Colson Whitehead', 'Denis Johnson', 'Jonathan Franzen', 'Louise Erdrich', 'Peter Matthiessen', 'Richard Powers', 'Shirley Hazzard', 'Susan Sontag', 'William T. Vollmann']","['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American women novelists', 'National Book Award winners', 'Novelists from Massachusetts', 'Writers from Boston']","Julia Glass (born March 23, 1956) is an American novelist. Her debut novel, Three Junes, won the National Book Award for Fiction in 2002.Glass followed Three Junes with a second novel, The Whole World Over, in 2006,  set in the same Bank Street–Greenwich Village universe, with three interwoven stories featuring several characters from Three Junes. Her third novel, I See You Everywhere, was published in 2008; her fourth, The Widower's Tale, in 2010; and her fifth, And the Dark Sacred Night, in 2014.
Glass was born in Boston, grew up in Belmont, Massachusetts and Lincoln, Massachusetts, and attended Concord Academy. She graduated from Yale in 1978. Intending to become a painter, she moved to New York City, where she lived for many years, painting in a small studio in Brooklyn and supporting herself as a freelance editor and copy editor, including several years in the copy department of Cosmopolitan magazine.  She lives in Marblehead, Massachusetts, with her partner, the photographer Dennis Cowley, and their two children, and works as a freelance journalist and editor. She is a previous winner of the William Faulkner - William Wisdom Creative Writing Competition.",3.54,"77,270","7,414",Literature & Fiction,N/A,N/A
Gail Godwin,female,Birmingham,Not Known,Not Known,"['William Peace University', 'University of North Carolina at Chapel Hill', 'University of Iowa']",['Glass People'],Not Known,['Janet Heidinger Kafka Prize'],1937,Alive,[],"['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American women novelists', ""Iowa Writers' Workshop alumni"", 'Novelists from Alabama', 'Writers from Birmingham, Alabama']","Gail Godwin (born June 18, 1937) is an American novelist and short story writer. Godwin has written 14 novels, two short story collections, three non-fiction books, and ten libretti. Her primary literary accomplishments are her novels, which have included five best-sellers and three finalists for the National Book Award. Most of her books are realistic fiction novels that follow a character's psychological and intellectual development, often based on themes taken from Godwin's own life.
Godwin was born in Birmingham, Alabama, but raised mostly in Asheville, North Carolina by her mother and grandmother. She adopted her mother's interest in writing at an early age and obtained a Bachelor's degree in journalism from the University of North Carolina at Chapel Hill (UNC). After graduating, she worked briefly as a reporter for The Miami Herald, then traveled to Europe and worked for the U.S. Travel Service run by the U.S. Embassy in London. She returned to the U.S. after six years. Godwin taught English at the University of Iowa, while earning her M.A. (1968) and PhD (1971) in English Literature.
While at the University of Iowa, Godwin's dissertation became her first novel, The Perfectionists. By 1976 she had become a successful writer and author of three books. In particular, two books written by her in the 1980s, A Mother and Two Daughters (1982) and A Southern Family (1987), resulted in further acclaim and expanded the readership of her books. Following The Finishing School (1984), readership of her books dramatically declined until 2006, when Queen of the Underworld was published. Flora (2013) became one of her more commercially successful novels.",3.67,"21,713","3,088",Literature & Fiction,Nonfiction,N/A
Tom Godwin,male,Arizona,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1915,1980,[],"['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', 'American male novelists', 'American male short story writers', 'American science fiction writers']","Tom Godwin (June 6, 1915 – August 31, 1980) was an American science fiction author active throughout the 1950s into the 1970s. In his career, Godwin published three novels and around thirty short stories. He is best known for his short story, ""The Cold Equations"". Published in 1954, the short story was Godwin’s fourth work to be published and was one whose controversial dark ending helped redefine the genre.",4.14,"8,164",712,Science Fiction,Fantasy,N/A
Herbert Gold,male,Cleveland,Not Known,Not Known,['Columbia University'],Not Known,Not Known,"['Guggenheim Fellowship', 'PEN Oakland/Josephine Miles Literary Award', 'Fulbright Scholarship']",1924,Alive,['Vladimir Nabokov'],"['20th-century American male writers', '20th-century American novelists', 'American male novelists', 'Jewish American writers', 'Novelists from Ohio', 'Writers from Cleveland', 'Writers from the San Francisco Bay Area']","Herbert Gold (born March 9, 1924) is an American novelist.

",3.56,490,71,Literature & Fiction,Nonfiction,N/A
Arthur Golden,male,Chattanooga,Not Known,Not Known,"['Boston University', 'Harvard University', 'Columbia University', 'Baylor School']",Not Known,Not Known,Not Known,1956,Alive,[],"['20th-century American male writers', '20th-century American novelists', 'American male novelists', 'Jewish American writers']","Arthur Sulzberger Golden (born December 6, 1956) is an American writer. He is the author of the bestselling novel Memoirs of a Geisha (1997).",4.13,"1,800,236","31,559",Literature & Fiction,Historical Fiction,N/A
Francisco Goldman,male,Boston,Not Known,Not Known,['University of Michigan'],Not Known,Not Known,"['Guggenheim Fellowship', 'Index Award', 'Prix Femina étranger', 'Sue Kaufman Prize for First Fiction', 'Berlin Prize']",1954,Alive,[],"['20th-century American male writers', '20th-century American novelists', '21st-century American male writers', '21st-century American novelists', 'American male novelists', 'Guatemalan male writers', 'Novelists from Massachusetts', 'Novelists from New York (state)', 'Writers from Boston', 'Writers from Brooklyn']","Francisco Goldman (born 1954) is an American novelist, journalist, and Allen K. Smith Professor of Literature and Creative Writing, Trinity College.

",3.95,"9,030","1,426",Literature & Fiction,N/A,N/A
William Goldman,male,Highland Park,Not Known,Not Known,"['Columbia University', 'Oberlin College']",['The Princess Bride'],novel,"['Writers Guild of America Award', 'Academy Award for Best Writing, Original Screenplay', 'Academy Award for Best Writing, Adapted Screenplay', 'Edgar Awards']",1931,2018,"['Budd Schulberg', 'Calder Willingham', 'Donald E. Westlake', 'Ernest Tidyman', 'Harry Brown (writer)', 'Ira Levin', 'Irwin Shaw', 'Jeremy Larner', 'John Grisham', 'John Irving', 'Larry McMurtry', 'Mario Puzo', 'Richard Condon', 'Ross Macdonald', 'Sidney Sheldon', 'Stephen King', 'Steve Martin', 'Tom Wolfe', 'William Inge', 'William Peter Blatty']","['20th-century American male writers', '20th-century American novelists', '21st-century American male writers', ""American children's writers"", 'American male novelists', 'American male screenwriters', 'Jewish American novelists', 'Jewish American screenwriters', 'Novelists from Illinois', 'Novelists from New York (state)', 'Screenwriters from Illinois', 'Screenwriters from New York (state)', 'Writers Guild of America Award winners', 'Writers from Chicago', 'Writers from New York City']","William Goldman (August 12, 1931 – November 16, 2018) was an American novelist, playwright, and screenwriter. He first came to prominence in the 1950s as a novelist before turning to screenwriting. He won Academy Awards for his screenplays Butch Cassidy and the Sundance Kid (1969) and All the President's Men (1976). His other known works include his thriller novel Marathon Man and his cult classic comedy/fantasy novel The Princess Bride, both of which he also adapted for the film versions.",4.24,"860,099","23,460",Literature & Fiction,Biographies & Memoirs,Screenplays & Plays
Rebecca Goldstein,female,White Plains,Not Known,Not Known,"['Princeton University', 'Barnard College']",Not Known,Not Known,"['Guggenheim Fellowship', 'MacArthur Fellows Program', 'Richard Dawkins Award', 'Humanist of the Year', 'National Humanities Medal', 'AAAS Fellow']",1950,Alive,"['Alan Lightman', 'Edward Lewis Wallant', 'Richard Powers']","['20th-century American novelists', '21st-century American novelists', '21st-century American women writers', 'American short story writers', 'American women novelists', 'American women short story writers', 'Jewish American novelists', 'Novelists from Connecticut', 'Novelists from Massachusetts', 'Novelists from New Jersey', 'Novelists from New York (state)', 'Writers from Boston']","Rebecca Newberger Goldstein (born February 23, 1950) is an American philosopher, novelist, and public intellectual. She has written ten books, both fiction and non-fiction. She holds a Ph.D. in philosophy of science from Princeton University, and is sometimes grouped with novelists such as Richard Powers and Alan Lightman, who create fiction that is knowledgeable of, and sympathetic toward, science.In her three non-fiction works, she has shown an affinity for philosophical rationalism, as well as a conviction that philosophy, like science, makes progress, and that scientific progress is itself supported by philosophical arguments. She has also stressed the role that secular philosophical reason has made in moral advances.
Increasingly, in her talks and interviews, she has been exploring what she has called ""mattering theory"" as an alternative to traditional utilitarianism. This theory is a continuation of her idea of ""the mattering map"", first suggested in her novel The Mind–Body Problem. The concept of the mattering map has been widely adopted in contexts as diverse as cultural criticism, psychology, and behavioral economics.Goldstein is a MacArthur Fellow, and has received the National Humanities Medal, the National Jewish Book Award, and numerous other honors.",3.72,"11,514","1,611",Literature & Fiction,Philosophy,Biographies & Memoirs
Laura Goode,female,Edina,Not Known,Not Known,['Columbia University School of the Arts'],Not Known,Not Known,Not Known,1983,Alive,[],"['21st-century American novelists', '21st-century American screenwriters', '21st-century American women writers', 'American women novelists', 'Screenwriters from Minnesota']","Laura Goode (born 1983) is an American author, novelist, essayist, poet, screenwriter, producer, and feminist. She is the author of the young adult novel Sister Mischief, the co-writer and producer of the feature film Farah Goes Bang, and writes the ANTIHEROINES column for Bright Ideas Magazine. She lives in San Francisco.",3.72,839,94,Young Adult,N/A,N/A
David Goodis,male,Philadelphia,Not Known,Not Known,"['Temple University', 'Simon Gratz High School']",Not Known,Not Known,Not Known,1917,1967,['Raymond Chandler'],"['20th-century American male writers', '20th-century American novelists', '20th-century American screenwriters', 'American Noir writers', 'American male novelists', 'American male screenwriters', 'American mystery writers', 'American radio writers', 'Jewish American novelists', 'Novelists from Pennsylvania', 'Screenwriters from Pennsylvania', 'Writers from Philadelphia']","David Loeb Goodis (March 2, 1917 – January 7, 1967) was an American writer of crime fiction noted for his output of short stories and novels in the noir fiction genre.  Born in Philadelphia, Goodis alternately resided there and in New York City and Hollywood during his professional years. According to critic Dennis Drabelle, ""Despite his [university] education, a combination of ethnicity (Jewish) and temperament allowed him to empathize with outsiders: the working poor, the unjustly accused, fugitives, criminals.""",3.94,"10,575","1,072",Mystery & Thrillers,N/A,N/A
Allegra Goodman,female,Brooklyn,Not Known,Not Known,"['Harvard University', 'Stanford University']",Not Known,Not Known,Not Known,1967,Alive,[],"['20th-century American novelists', '20th-century American short story writers', '20th-century American women writers', '21st-century American novelists', '21st-century American short story writers', '21st-century American women writers', 'American women novelists', 'American women short story writers', 'Jewish American novelists', 'Jewish women writers', 'Novelists from Hawaii', 'Novelists from Massachusetts', 'Novelists from New York (state)', 'Writers from Brooklyn', 'Writers from Cambridge, Massachusetts']","Allegra Goodman (born 1967) is an American author based in Cambridge, Massachusetts. Her most recent novel, The Chalk Artist, was published in 2017. Goodman wrote and illustrated her first novel at the age of seven.",3.51,"32,319","4,788",Literature & Fiction,Young Adult,N/A
Paul Goodman,male,Greenwich Village,Not Known,Anarchism,"['University of Chicago', 'City College of New York']",Not Known,Not Known,Not Known,1911,1972,['Susan Sontag'],"['20th-century American male writers', '20th-century American novelists', 'American male non-fiction writers', 'American male novelists', 'American male short story writers', 'American political writers', 'American short story writers', 'Anarchist writers', 'Bisexual writers', 'Jewish American novelists', 'Jewish American short story writers', 'LGBT novelists', 'LGBT writers from the United States', 'Novelists from New York (state)', 'Writers from New York City']","Paul Goodman (1911–1972) was an American author and public intellectual best known for his 1960s works of social criticism. Born to a Jewish family in New York City, Goodman was raised by his aunts and sister and attended City College of New York. As an aspiring writer, he wrote and published poems and fiction before attending graduate school in Chicago. He returned to writing in New York City and took sporadic magazine writing and teaching jobs, many of which he lost for his outward bisexuality and World War II draft resistance. Goodman discovered anarchism and wrote for libertarian journals. He became one of the founders of gestalt therapy and took patients through the 1950s while continuing to write prolifically. His 1960 book of social criticism, Growing Up Absurd, established his importance as a mainstream cultural theorist. Goodman became known as ""the philosopher of the New Left"" and his anarchistic disposition was influential in 1960s counterculture and the free school movement. His celebrity did not endure far beyond his life, but Goodman is remembered for his principles, outré proposals, and vision of human potential.",3.92,"1,320",147,N/A,N/A,N/A
Marcus Goodrich,male,San Antonio,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1897,1991,['Ernest Hemingway'],"['20th-century American male writers', '20th-century American novelists', '20th-century American screenwriters', 'American male novelists', 'American male screenwriters', 'Novelists from Texas', 'Screenwriters from Texas', 'Writers from San Antonio']","Marcus Aurelius Goodrich (November 28, 1897 – October 20, 1991) was an American screenwriter and novelist. He was the first husband of the actress Olivia de Havilland. Their only son Benjamin was born on September 27, 1949. He was married beforehand to Elizabeth Norton, Henriette Alice McCrea-Metcalf, Caroline Sleeth, and Renee Oakman.He associated with the Ernest Hemingway group in Paris and was a protégé of Philip Wylie. He is best known for his 1941 novel Delilah.

",3.76,55,14,N/A,N/A,N/A
Caroline Gordon,female,Todd County,Not Known,Not Known,['Bethany College'],Not Known,Not Known,['Guggenheim Fellowship'],1895,1981,"['Ernest Hemingway', 'Erskine Caldwell', 'F. Scott Fitzgerald', ""Flannery O'Connor"", 'John Steinbeck', 'Robert Penn Warren', 'Thomas Wolfe', 'Walker Percy', 'William Faulkner', 'William Saroyan']","['20th-century American novelists', '20th-century American women writers', 'American women novelists', 'Kentucky women writers', 'Novelists from Kentucky', 'Novelists from Tennessee', 'Writers of American Southern literature']","Caroline Ferguson Gordon (October 6, 1895 – April 11, 1981) was a notable American novelist and literary critic who, while still in her thirties, was the recipient of two prestigious literary awards, a 1932 Guggenheim Fellowship and a 1934 O. Henry Award.",3.81,399,48,N/A,N/A,N/A
Mary Gordon,female,Far Rockaway,Not Known,Not Known,"['Syracuse University', 'Barnard College']",Not Known,Not Known,"['Guggenheim Fellowship', 'Janet Heidinger Kafka Prize', 'Janet Heidinger Kafka Prize', 'O. Henry Award']",1949,Alive,"['George Saunders', 'Rick Bass']","['20th-century American non-fiction writers', '20th-century American novelists', '20th-century American women writers', '21st-century American non-fiction writers', '21st-century American novelists', '21st-century American women writers', 'American women novelists', 'Novelists from New York (state)']","Mary Catherine Gordon (born December 8, 1949) is an American writer from Queens and Valley Stream, New York. She is the McIntosh Professor of English at Barnard College.  She is best known for her novels, memoirs and literary criticism. In 2008 she was named Official State Author of New York.",3.83,"1,290,075","41,234",Literature & Fiction,Horror,Science Fiction & Fantasy
Ron Goulart,male,Berkeley,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1933,Alive,"['Andre Norton', 'Ben Bova', 'David Brin', 'George R. R. Martin', 'Greg Bear', 'Marion Zimmer Bradley', 'Poul Anderson', 'Robert Asprin', 'Robert Silverberg']","['20th-century American male writers', '20th-century American non-fiction writers', '20th-century American novelists', '21st-century American male writers', '21st-century American non-fiction writers', '21st-century American novelists', 'American fantasy writers', 'American information and reference writers', 'American male non-fiction writers', 'American male novelists', 'American mystery writers', 'American science fiction writers', 'Novelists from Connecticut']","Ron Goulart (; born January 13, 1933) is an American popular culture historian and mystery, fantasy and science fiction author.
Goulart was prolific, publishing novelizations and other work under various pseudonyms: Kenneth Robeson, Con Steffanson, Chad Calhoun, R.T. Edwards, Ian R. Jamieson, Josephine Kains, Jillian Kearny, Howard Lee, Zeke Masters, Frank S. Shawn, and Joseph Silva.Goulart's first professional publication was a 1952 reprint of the SF story ""Letters to the Editor"" in The Magazine of Fantasy & Science Fiction; this parody of a pulp magazine letters column was originally published in the University of California, Berkeley's Pelican. His early career in advertising and marketing influenced much of his work. In the early 1960s, Goulart wrote the text for Chex Press, a newspaper parody published on Ralston Purina cereal boxes (Wheat Chex, Rice Chex, Corn Chex). He contributed to P.S. and other magazines, along with his book review column for Venture Science Fiction Magazine. Cheap Thrills: An Informal History of the Pulp Magazines (1972) is his best known non-fiction book.

",3.53,"12,634","1,423",Science Fiction & Fantasy,Mystery & Thrillers,N/A
William Goyen,male,Trinity,Not Known,Not Known,"['Rice University', 'University of Iowa', 'Sam Houston Math, Science, and Technology Center']",['The House of Breath'],Not Known,['Guggenheim Fellowship'],1915,1983,"['Christopher Isherwood', 'Katherine Anne Porter', 'William Faulkner']","['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', 'American male novelists', 'American male short story writers', 'Modernist writers', 'Novelists from Texas']","Charles William Goyen (April 24, 1915 – August 30, 1983) was an American novelist, short story writer, playwright, poet, editor, and teacher. Born in a small town in East Texas, these roots would influence his work for his entire life.
In World War II he served as an officer aboard an aircraft carrier in the South Pacific, where he began work on one of his most important and critically acclaimed books, The House of Breath. After the war and through the 1950s, he published short stories, collections of stories, other novels, and plays. He never achieved commercial success in America, but his translated work was highly regarded in Europe. During his life he could not completely support himself through his writing, so at various times he took work as an editor and teacher at several prominent universities. At one point he did not write fiction for several years, calling it a ""relief"" to not have to worry about his writing.
Major themes in his work include home and family, place, time, sexuality, isolation, and memory. His style of writing is not easily categorized, and he eschewed labels of genre placed on his works.
In 1963, he married Doris Roberts, the actress perhaps best known for her work in Everybody Loves Raymond; they remained together until his death in 1983.",4.05,"1,997",143,N/A,N/A,N/A
Sue Grafton,female,Louisville,Not Known,Not Known,"['University of Louisville', 'Western Kentucky University', 'Atherton High School']","['""A"" Is for Alibi', '""B"" Is for Burglar', '""C"" Is for Corpse', '""D"" Is for Deadbeat', '""E"" Is for Evidence', '""F"" Is for Fugitive', '""G"" Is for Gumshoe', '""H"" Is for Homicide', '""I"" Is for Innocent', '""J"" Is for Judgment', '""K"" Is for Killer', '""L"" Is for Lawless', '""M"" Is for Malice', '""N"" Is for Noose', '""O"" Is for Outlaw', '""P"" Is for Peril', '""Q"" Is for Quarry', '""R"" Is for Ricochet', '""S"" Is for Silence', '""T"" Is for Trespass', '""U"" Is for Undertow', '""V"" Is for Vengeance', '""W"" Is for Wasted', '""X""']",crime novel,"['Edgar Awards', 'Ross Macdonald Literary Award', 'Cartier Diamond Dagger', 'Anthony Award', 'Anthony Award', 'Anthony Award', 'Anthony Award']",1940,2017,"['Aaron Elkins', 'Charlaine Harris', 'Charlotte MacLeod', 'Elizabeth George', 'Emma Lathen', 'John D. MacDonald', 'Laura Lippman', 'Laurie R. King', 'Margaret Maron', 'Mary Higgins Clark', 'Mignon G. Eberhart', 'Nevada Barr', 'Phyllis A. Whitney', 'Ross Macdonald', 'Sara Paretsky', 'Sharyn McCrumb', 'Tony Hillerman']","['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American detective fiction writers', 'American mystery writers', 'American women novelists', 'Kentucky women writers', 'Novelists from California', 'Novelists from Kentucky', 'Women mystery writers', 'Women television writers', 'Writers from Louisville, Kentucky', 'Writers from Santa Barbara, California']","Sue Taylor Grafton (April 24, 1940 – December 28, 2017) was an American author of detective novels. She is best known as the author of the ""alphabet series"" (""A"" Is for Alibi, etc.) featuring private investigator Kinsey Millhone in the fictional city of Santa Teresa, California. The daughter of detective novelist C. W. Grafton, she said the strongest influence on her crime novels was author Ross Macdonald. Before her success with this series, she wrote screenplays for television movies.",3.94,"1,006,698","42,277",Mystery,Suspense,N/A
Robert Grant,male,Boston,Not Known,Not Known,"['Harvard Law School', 'Harvard University']",Not Known,Not Known,Not Known,1852,1940,[],"['19th-century American male writers', '19th-century American novelists', '20th-century American male writers', '20th-century American novelists', 'American male novelists']","Robert Grant (January 24, 1852 – May 19, 1940) was an American author and a jurist who participated in a review of the Sacco and Vanzetti trial a few weeks before their executions.

",3.96,"22,167",845,Biographies & Memoirs,N/A,N/A
Shirley Ann Grau,female,New Orleans,Not Known,Not Known,['H. Sophie Newcomb Memorial College'],['The Keepers of the House'],novel,['Pulitzer Prize for Fiction'],1929,2020,"['A. B. Guthrie Jr.', 'Adam Johnson (writer)', 'Alice Walker', 'Alison Lurie', 'Allen Drury', 'Andrew Sean Greer', 'Anne Tyler', 'Bernard Malamud', 'Booth Tarkington', 'Carol Shields', 'Caroline Pafford Miller', 'Colson Whitehead', 'Conrad Richter', 'Cormac McCarthy', 'Donna Tartt', 'Edith Wharton', 'Edna Ferber', 'Edward P. Jones', ""Edwin O'Connor"", 'Elizabeth Strout', 'Ellen Glasgow', 'Ernest Hemingway', 'Ernest Poole', 'Eudora Welty', 'Geraldine Brooks (writer)', 'H. L. Davis', 'Harper Lee', 'Herman Wouk', 'James A. Michener', 'James Agee', 'James Gould Cozzens', 'Jane Smiley', 'Jean Stafford', 'Jeffrey Eugenides', 'Jennifer Egan', 'Jhumpa Lahiri', 'John Cheever', 'John Hersey', 'John Kennedy Toole', 'John P. Marquand', 'John Steinbeck', 'John Updike', 'Julia Peterkin', 'Katherine Anne Porter', 'Larry McMurtry', 'Louis Bromfield', 'Louise Erdrich', 'MacKinlay Kantor', 'Margaret Ayer Barnes', 'Margaret Mitchell', 'Margaret Wilson (novelist)', 'Marilynne Robinson', 'Marjorie Kinnan Rawlings', 'Martin Flavin', 'Michael Chabon', 'Michael Cunningham', 'Michael Shaara', 'N. Scott Momaday', 'Norman Mailer', 'Oliver La Farge', 'Oscar Hijuelos', 'Paul Harding (author)', 'Pearl S. Buck', 'Philip Roth', 'Richard Ford', 'Richard Powers', 'Richard Russo', 'Robert Lewis Taylor', 'Robert Olen Butler', 'Robert Penn Warren', 'Saul Bellow', 'Sinclair Lewis', 'Steven Millhauser', 'Thomas Sigismund Stribling', 'Thornton Wilder', 'Toni Morrison', 'Upton Sinclair', 'Wallace Stegner', 'Willa Cather', 'William Faulkner', 'William Kennedy (author)', 'William Styron']","['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American women novelists', 'Novelists from Louisiana', 'Writers from New Orleans']","Shirley Ann Grau (July 8, 1929 – August 3, 2020) was an American writer. She was born in New Orleans, and her work is set primarily in the Deep South and explores issues of race and gender.",3.97,"11,703","1,116",Literature & Fiction,N/A,N/A
